,Data
0,0.8
1,0.55
2,0.25
3,0.15
4,0.55
5,0.9
6,0.5
7,0.45
8,0.35
9,0.85
10,0.85
11,0.45
12,0.2
13,0.5
14,0.35
15,0.25
16,0.95
17,0.2
18,0.15
19,0.4
20,0.25
21,0.25
22,0.65
23,0.4
24,1.0
25,0.95
26,0.4
27,1.0
28,0.2
29,0.05
30,0.95
31,0.3
32,0.1
33,0.9
34,0.8
35,0.6
36,0.1
37,0.55
38,0.05
39,0.85
40,0.8
41,0.75
42,0.1
43,0.1
44,1.0
45,0.45
46,0.7
47,0.8
48,0.55
49,0.2
50,0.45
51,0.45
52,0.65
53,0.05
54,0.1
55,0.7
56,0.95
57,0.35
58,0.65
59,0.2
60,0.65
61,0.25
62,0.65
63,0.3
64,0.05
65,0.15
66,0.65
67,0.45
68,0.85
69,0.75
70,0.3
71,0.5
72,0.2
73,0.4
74,0.95
75,0.3
76,0.35
77,0.25
78,0.9
79,0.5
80,0.6
81,0.75
82,0.15
83,0.85
84,0.35
85,0.2
86,0.35
87,0.8
88,0.1
89,0.85
90,0.05
91,0.15
92,0.75
93,0.7
94,0.5
95,0.75
96,0.3
97,0.15
98,0.15
99,0.6
100,0.9
101,0.95
102,0.4
103,0.05
104,0.4
105,0.7
106,0.05
107,0.1
108,0.6
109,0.05
110,0.65
111,0.05
112,0.1
113,0.75
114,0.85
115,0.8
116,0.85
117,0.55
118,0.05
119,0.9
120,0.85
121,0.55
122,0.15
123,0.55
124,0.2
125,0.95
126,0.3
127,0.5
128,0.35
129,0.9
130,0.5
131,0.3
132,0.55
133,0.35
134,0.9
135,0.7
136,0.9
137,1.0
138,0.35
139,0.35
140,0.35
141,0.7
142,0.3
143,0.65
144,0.0
145,0.2
146,0.2
147,0.7
148,0.1
149,0.9
150,0.8
151,0.6
152,0.15
153,0.15
154,0.9
155,0.15
156,0.05
157,0.75
158,0.9
159,0.3
160,0.1
161,1.0
162,0.65
163,0.7
164,1.0
165,0.85
166,0.35
167,0.45
168,0.9
169,0.95
170,1.0
171,0.9
172,0.55
173,0.65
174,0.25
175,0.4
176,0.15
177,0.9
178,0.75
179,0.25
180,0.1
181,0.2
182,0.25
183,0.1
184,0.8
185,0.0
186,0.55
187,0.95
188,0.1
189,0.3
190,0.2
191,0.4
192,0.65
193,0.85
194,0.85
195,0.25
196,1.0
197,0.1
198,0.15
199,0.05
200,0.75
201,0.95
202,0.55
203,0.1
204,0.55
205,0.25
206,0.8
207,0.2
208,0.7
209,0.25
210,0.9
211,0.55
212,0.55
213,0.45
214,0.35
215,0.55
216,0.25
217,0.95
218,0.3
219,1.0
220,0.7
221,0.0
222,0.95
223,0.25
224,0.65
225,0.4
226,0.5
227,0.25
228,0.95
229,0.8
230,1.0
231,0.3
232,0.05
233,0.4
234,0.15
235,0.3
236,0.1
237,0.85
238,1.0
239,0.15
240,0.0
241,1.0
242,0.5
243,0.7
244,0.25
245,0.85
246,0.45
247,0.7
248,0.45
249,0.05
250,0.45
251,0.35
252,0.35
253,0.35
254,0.85
255,0.3
256,0.2
257,0.9
258,0.6
259,0.1
260,0.6
261,0.2
262,0.9
263,0.05
264,0.7
265,0.45
266,0.6
267,0.85
268,0.45
269,0.85
270,0.1
271,0.9
272,0.45
273,0.25
274,0.95
275,0.35
276,0.35
277,0.35
278,0.0
279,0.95
280,0.6
281,0.3
282,0.45
283,0.75
284,0.9
285,0.75
286,0.95
287,0.45
288,0.95
289,0.35
290,0.5
291,0.25
292,0.95
293,0.35
294,1.0
295,0.35
296,0.1
297,0.4
298,0.35
299,0.55
300,0.25
301,0.4
302,1.0
303,0.5
304,0.0
305,0.95
306,0.1
307,0.15
308,0.35
309,0.55
310,0.2
311,0.05
312,0.75
313,0.65
314,0.25
315,0.65
